v,R_scaled,T_scaled,cl_C,cl_Mn,cl_Al,cs_C,cs_Mn,cs_Al,R,T,DT
0.0001,2.8253260558489477,0.9994602202409696,0.011444037724330504,0.005067502406312942,0.03399916742479452,0.0017736132886054274,0.003727587790884442,0.03706474461528835,2.8253260558489477e-06,1795.6302316849258,0.9697683150741341
0.00030000000000000003,1.5456862948304575,0.9990075401499567,0.011828885754811369,0.0051169925199753725,0.03388313237856852,0.0018344763545570274,0.0037632648084654154,0.03700306831624739,1.5456862948304575e-06,1794.8169466334123,1.7830533665876374
0.0005,1.173630453892854,0.9987232442679951,0.01206521382712607,0.005146298348278971,0.03381352308489929,0.0018719373814232504,0.0037843976549289736,0.036966643990978446,1.173630453892854e-06,1794.30618065188,2.293819348119996
0.0007,0.9790338789635402,0.9985047436987009,0.012243816279942844,0.0051679225354088025,0.03376170238934326,0.0019003013224033174,0.0038000000115070093,0.03693978539079061,9.790338789635401e-07,1793.9136225290858,2.686377470914067
0.0009,0.8548467042745553,0.9983232541304997,0.01239014007175281,0.005185313010870127,0.03371973343203613,0.001923578096466185,0.003812556083671408,0.036918182707496125,8.548467042745553e-07,1793.5875583708557,3.0124416291441776
0.0011,0.7669116531765833,0.9981660420073737,0.012515400597019059,0.005199972694606438,0.03368414446467712,0.0019435351888609635,0.003823148238472529,0.036899962020859885,7.669116531765832e-07,1793.3051110704475,3.2948889295523713
0.0031000000000000003,0.4355136758583914,0.9971456210062344,0.01329488400023128,0.005286724477528667,0.03346932366868928,0.002068543974471095,0.003886077588144272,0.03679151612492395,4.355136758583914e-07,1791.4718226998007,5.128177300199241
0.0051,0.3303798848311782,0.9965001060213019,0.013758159775902761,0.00533485458725976,0.033346777440431866,0.00214373514038052,0.003921306595970358,0.036730373067756665,3.3037988483117816e-07,1790.312090477871,6.2879095221289845
0.0071,0.2744002062309926,0.9959999880108463,0.014101337517608678,0.005368962715815537,0.0332583642300663,0.0022000202851135122,0.003946501065700319,0.03668627824031339,2.744002062309926e-07,1789.4135784602863,7.186421539713592
0.0091,0.23843252306977614,0.9955814262727183,0.014378052355221712,0.005395542231808702,0.033188526867003604,0.002245852006815928,0.003966316215802865,0.03665129868774586,2.3843252306977613e-07,1788.6615904415655,7.938409558434387
0.0111,0.21288655900236184,0.9952162527646848,0.014611702638475381,0.0054173589025522636,0.03313057393825369,0.002284916670929022,0.0039827324671704925,0.03662206941969678,2.1288655900236183e-07,1788.0055197170327,8.594480282967197
0.0211,0.14666935682103113,0.9938171833302816,0.015440657240186544,0.005490252692981715,0.0329327504345957,0.0024270221719531223,0.0040390351883097695,0.0365194748833453,1.4666935682103112e-07,1785.4919515711838,11.108048428816119
0.031100000000000003,0.11645335039708758,0.9927726264571838,0.01599241065725122,0.005534915676128885,0.03280841410515708,0.0025257808474603185,0.004075270852807844,0.036450780146190374,1.1645335039708758e-07,1783.6153006929762,12.984699307023675
0.041100000000000005,0.09832888382142686,0.991904185532664,0.016408746110541793,0.0055665400857022596,0.032719091214233394,0.0026034592864664606,0.004102255811145092,0.03639775352722494,9.832888382142686e-08,1782.0550597279841,14.544940272015765
0.051100000000000007,0.08595343655430293,0.9911440997101756,0.016742557873823095,0.005590548092325618,0.03265072337853198,0.00266834282908098,0.004123839117488828,0.03635391782079258,8.595343655430292e-08,1780.6894895393013,15.91051046069856
0.06110000000000001,0.07683110054810165,0.9904584109791897,0.017020024530022822,0.005609535266002784,0.03259645120011336,0.002724521420652427,0.004141858982729201,0.0363161803130031,7.683110054810164e-08,1779.457581165212,17.142418834787804
0.07110000000000001,0.06975655768887354,0.9898273777200725,0.017256219381325738,0.0056249554597047145,0.03255236791160899,0.0027743438450752336,0.004157342998264932,0.036282811151923174,6.975655768887354e-08,1778.323866811882,18.27613318811791
0.0811,0.06406793202646748,0.9892383868469319,0.017460697672403654,0.005637708572129147,0.0325160186319171,0.002819295129324673,0.004170926127019185,0.036252740288457895,6.406793202646747e-08,1777.2656858091977,19.33431419080216
0.0911,0.05936794612503017,0.9886828313610972,0.01763993634346724,0.005648391794862573,0.03248575154222361,0.002860379230487528,0.004183029117503816,0.036225257634673685,5.936794612503017e-08,1776.2675748233473,20.332425176652578
0.1011,0.05540198802108196,0.9881545446198245,0.017798548531565567,0.005657422386430202,0.032460397564631406,0.0028983093118346262,0.004193945571104699,0.03619986680709771,5.540198802108196e-08,1775.3184548639767,21.28154513602317
0.11109999999999999,0.05199844080961744,0.9876489389311063,0.01793994753822039,0.0056651036933641034,0.03243909647181611,0.002933611642284517,0.004203888704123256,0.036176206591728585,5.199844080961744e-08,1774.4100836836255,22.189916316374365
0.12109999999999999,0.04903690302379452,0.9871624972378326,0.018066736483666874,0.00567166331817978,0.0324211954611403,0.0029666864966950315,0.004213018350297046,0.036154005594909104,4.903690302379452e-08,1773.53614253749,23.063857462509986
0.1311,0.04643010573587157,0.98669245620762,0.018180950174417294,0.005677276482845221,0.03240618654136665,0.0029978459132483566,0.004221457471274253,0.036133054511128804,4.643010573587157e-08,1772.6916668226102,23.90833317738975
0.1411,0.04411305863341018,0.9862365996947215,0.018284211599719415,0.0056820809663791615,0.0323936661912122,0.003027338088262409,0.004229302701977634,0.03611318840623118,4.411305863341018e-08,1771.8726750115366,24.72732498846335
0.1511,0.04203624475693824,0.9857931190819069,0.018377838345819106,0.005686187111868626,0.03238330809554915,0.0030553639556409728,0.004236631407072131,0.03609427485635824,4.203624475693824e-08,1771.0759177425539,25.524082257446025
0.16110000000000002,0.040161190889280204,0.9853605159333049,0.01846291524843823,0.005689684616266806,0.032374844543318904,0.003082088476808273,0.004243506465218603,0.036076205904337584,4.0161190889280204e-08,1770.2987029257754,26.30129707422452
0.17110000000000003,0.03845749504098855,0.9849375322978531,0.01854034718784871,0.005692647386004068,0.032368053003096246,0.0031076488464545425,0.004249979686415615,0.03605889230990573,3.845749504098855e-08,1769.5387705263227,27.06122947367726
0.18110000000000004,0.03690077470611825,0.984523099687107,0.018610897170276763,0.005695137015575756,0.03236274644985061,0.003132160398197156,0.004256094258295835,0.036042259431776275,3.690077470611825e-08,1768.7942008978564,27.80579910214351
0.19110000000000005,0.03547121828359874,0.9841163009618854,0.018675214795723812,0.005697205360018884,0.032358766159918326,0.0031557210148253725,0.004261886553542203,0.03602624418304395,3.547121828359874e-08,1768.0633463081233,28.53665369187661
0.20110000000000006,0.03415254193737875,0.9837163413870674,0.018733858112600053,0.005698896483895951,0.032355976209502216,0.003178414514863523,0.004267387497796824,0.036010792724989,3.415254193737875e-08,1767.3447789360052,29.255221063994668
0.21110000000000007,0.03293121994568633,0.9833225262507925,0.018787309537737103,0.005700248091729743,0.03235425943048115,0.0032003131007225178,0.004272623573477309,0.03599585877440012,3.293121994568633e-08,1766.6372506621738,29.962749337826153
0.22110000000000007,0.03179591381701613,0.9829342433873609,0.01883598979047365,0.005701292728932504,0.032353513960941334,0.003221479526493411,0.004277617660702114,0.03598140218256134,3.179591381701613e-08,1765.9396616697325,30.66033833026745
0.23110000000000008,0.030737036863400437,0.9825509492740031,0.018880267163885994,0.00570205861498014,0.032353650869825785,0.0032419685087976915,0.004282389621389321,0.03596738794946506,3.0737036863400434e-08,1765.2510354656738,31.348964534326115
0.2411000000000001,0.0297464227773403,0.9821721579573182,0.01892046645927972,0.005702570398245737,0.03235459196108295,0.0032618281162344847,0.004286956826918891,0.03595378533048838,2.97464227773403e-08,1764.5704989861176,32.02950101388228
